,Location ,Latitude ,NESS ID ,Longitude ,NWS ID ,Elevation ,Agency 
ABRK,Black Rock Arizona,"36° 47' 40""",3257E09E,"113° 45' 24""",020114,7080 ft.,BLM
CGRE,Great Divide Colorado,"40° 45' 28""",3259C21A,"107° 51' 12""",50106,7200 ft.,BLM
OUMA,Umatilla NWR Oregon,"45° 55' 00""",83744612,"119° 34' 00""",351316,270 ft.,FWS
AHOB,Hobart Alaska,"57° 10' 00""",3248B1EE,"135° 30' 00""",501012,47 ft.,USFS
NBRP,Black Rock Playa Nevada,"40° 45' 32""",32D08E26,"119° 11' 51""",,3911 ft.,BLM
ABRO,Broadview Alaska,"60° 29' 00""",32494390,"149° 46' 00""",500902,625 ft.,USFS
XCIM,Cimarron New Mexico,"36° 36' 22""",3333A53E,"105° 07' 13""",290401,8744 ft.,USFS
OMEY,Meyers Canyon Oregon,"44° 36' 36""",,"120° 10' 55""",352713,2920 ft.,BLM
MMTV,Mt. Vernon Missouri,"37° 04' 16""",573063C8,"93° 53' 50""",236902,1235 ft.,S&amp;PF
PTHO,Thornhurst Pennsylvania,"41° 13' 54""",32D80246,"75° 37' 29""",360791,2058 ft.,S&amp;PF
CNUC,Nucla Colorado,"38° 13' 47""",3251D5CA,"108° 33' 30""",053807,5860 ft.,BLM
SGRR,Grand River South Dakota,"45° 36' 51""",AAC207A4,"101° 03' 46""",390301,2113 ft.,BIA
CMES,Mesa Mountain Colorado,"37° 03' 18""",5210A012,"107° 42' 25""",055805,7380 ft.,BIA
WTOM,Toms Creek Washington,"48° 01' 00""",3260A7D0,"123° 55' 00""",450121,2400 ft.,USFS
NSND,Sandy Run North Carolina,"34° 36' 43""",4072109A,"77° 29' 15""",,40 ft.,S&amp;PF
CLN5,LN5 - Portable California,"40° 45' 31""",324056BA,"120° 53' 46""",,1500 ft.,USFS
OHEH,Hehe 1 Oregon,"44° 57' 58""",5210767A,"121° 29' 27""",350920,2640 ft.,BIA
NSOL,Soldier Creek Nebraska,"42° 44' 30""",,"103° 33' 00""",,4520 ft.,
TBFX,Balcones Flying X Texas,"30° 37' 48""",3292A030,"98° 04' 55""",,1362 ft.,FWS
TCOL,Colorado Bend Texas,"31° 03' 08""",88406290,"98° 30' 01""",419501,1259 ft.,S&amp;PF
XSLA,Slaughter New Mexico,"34° 04' 00""",3233D20C,"108° 26' 00""",292008,8680 ft.,USFS
CMOD,Modoc NWR California,"41° 27' 32""",8374907A,"120° 31' 08""",040311,4380 ft.,FWS
CHTF,Hart Flat California,"35° 15' 04""",CA5205EC,"118° 36' 01""",045018,2685 ft.,S&amp;PF
OTIM,Timothy Oregon,"43° 14' 36""",326146D8,"121° 21' 30""",353337,6020 ft.,USFS
CDCB,Dry Creek Basin Colorado,"38° 06' 56""",,"108° 42' 36""",,6430 ft.,
SSFS,Spearfish South Dakota,"44° 27' 30""",,"103° 49' 07""",,3898 ft.,
ATOT,Totson Alaska,"64° 26' 48""",,"157° 18' 00""",,2714 ft.,BLM
CHUR,Hurley California,"37° 00' 55""",CA2574E4,"119° 34' 04""",044517,1201 ft.,S&amp;PF
FSUM,Sumatra Florida,"30° 01' 03""",323A74A8,"84° 59' 03""",082002,60 ft.,USFS
CBKD,Black Diamond California,"37° 57' 00""",CA4130E6,"121° 53' 04""",043008,1600 ft.,S&amp;PF
TLOS,Lost Maples SNA Texas,"29° 49' 26""",32B06134,"99° 35' 58""",417802,2220 ft.,S&amp;PF
PCWP,Camp William Penn Pennsylvania,"41° 09' 08""",,"75° 09' 04""",,1142 ft.,
FTOP,Flattop Mountain - Cleveland 15E Utah,"39° 20' 15""",325F57B6,"110° 36' 00""",422002,6120 ft.,BLM
AHJK,Happy Jack Arizona,"34° 37' 05""",326BF404,"111° 20' 32""",020291,6793 ft.,USFS
WFOR,Forks Washington,"47° 57' 19""",AAAF336A,"124° 23' 06""",450105,303 ft.,S&amp;PF
IFLI,Flint Creek Idaho,"42° 04' 45""",325ED358,"112° 11' 00""",104203,5200 ft.,USFS
MHAC,Hackberry Creek Montana,"45° 28' 15""",,"104° 12' 45""",,3420 ft.,
WENU,Enumclaw Washington,"47° 11' 54""",3008D490,"121° 57' 53""",451702,771 ft.,S&amp;PF
NSTW,Stillwater NWR Nevada,"39° 31' 46""",,"118° 31' 08""",,3800 ft.,
CGRS,Grass Mountain California,"34° 38' 27""",32880604,"118° 24' 51""",045449,4626 ft.,USFS
PMOR,Moraine State Park Pennsylvania,"40° 56' 10""",32D81130,"80° 06' 07""",360191,1220 ft.,S&amp;PF
OPOO,Poor Jug Oregon,"42° 55' 37""",,"120° 06' 36""",353426,4600 ft.,USFS
OGRM,Grassy Mountain Oregon,"42° 37' 34""",3250D730,"117° 23' 42""",353612,4560 ft.,BLM
ATSK,Tuskegee Alabama,"32° 26' 57""",327EB750,"85° 38' 29""",014201,283 ft.,USFS
NBDY,Buddy Adams Nevada,"37° 01' 17""",329023D0,"116° 36' 33""",261408,4593 ft.,BLM
CWIR,Wire Mountain California,"33° 14' 08""",923055A4,"117° 22' 05""",045749,245 ft.,DOD
CHLR,Hollister California,"36° 50' 32""",CA25B1FA,"121° 21' 44""",044406,404 ft.,S&amp;PF
NDNW,Desert NWR Nevada,"36° 34' 45""",8374B696,"115° 08' 38""",261710,7120 ft.,FWS
WMID,Midnite Mine Washington,"47° 56' 18""",324F26B8,"118° 05' 37""",452913,2693 ft.,USFS
POLD,Old Mountain Pennsylvania,"41° 33' 52""",3294430C,"77° 24' 31""",361171,1924 ft.,S&amp;PF
USTG,St. George Utah,"37° 00' 40""",32567706,"113° 36' 47""",422809,2665 ft.,BLM
NVAL,Valentine Nebraska,"42° 29' 02""",8375A71A,"100° 31' 23""",250402,2927 ft.,FWS
GBAI,Bainbridge Georgia,"30° 58' 14""",,"84° 38' 04""",,12 ft.,
UGOS,Goslin Creek - Ashley BAER Utah,"40° 57' 40""",3333F542,"109° 20' 20""",,8000 ft.,USFS
CVAN,Van Bremmer California,"41° 38' 35""",324275A2,"121° 47' 38""",040243,4928 ft.,USFS
XMCK,McKenna New Mexico,"33° 14' 00""",326C15C2,"108° 24' 00""",292010,8600 ft.,USFS
CCRR,Carpenter Ridge California,"40° 04' 07""",CA2132D4,"121° 34' 57""",041213,4812 ft.,S&amp;PF
WHOA,Hoback Wyoming,"43° 13' 13""",323696C6,"110° 25' 23""",481302,6726 ft.,USFS
JEBF,Eb Forsythe New Jersey,"39° 30' 00""",837767F0,"74° 30' 00""",281501,1300 ft.,FWS
AMCA,McArthur Pass Alaska,"59° 28' 22""",3280244E,"150° 20' 01""",,1300 ft.,NPS
CBRA,Branch Mountain California,"35° 11' 20""",3247F476,"120° 05' 00""",044901,3770 ft.,USFS
MDMT,Derby Mountain (Portable) Montana,"45° 35' 00""",,"109° 52' 00""",,7200 ft.,
OREM,Red Mound Oregon,"42° 07' 24""",324D16D6,"124° 18' 02""",,1753 ft.,BLM
MHEB,Hebgen Lake Montana,"44° 40' 04""",323FC0E6,"111° 06' 02""",244603,6667 ft.,USFS
OSTA,Star Oregon,"42° 09' 00""",32488474,"123° 04' 00""",353214,1676 ft.,USFS
CCMN,Camanche California,"38° 13' 52""",CA2C31B2,"121° 00' 40""",043102,368 ft.,S&amp;PF
FLKG,Lake George Florida,"29° 14' 03""",3286B1E2,"81° 29' 57""",083502,0 ft.,USFS
WTEP,Tepee Creek Washington,"46° 09' 47""",52105096,"121° 01' 56""",452317,2980 ft.,BIA
WNES,Nespelem Washington,"48° 08' 08""",52119772,"118° 57' 47""",452028,1900 ft.,BIA
DBLB,Blackbird Delaware,"39° 19' 33""",DF10101C,"75° 43' 51""",070031,70 ft.,S&amp;PF
WTEE,Teepee Seed Orchard Washington,"48° 39' 50""",3231D7F8,"117° 28' 55""",453414,3360 ft.,USFS
CSCL,San Clemente Island California,"32° 50' 24""",933031E0,"118° 23' 15""",,935 ft.,OTHR
IHOO,Hoodoo Idaho,"48° 03' 11""",3273E44A,"116° 47' 34""",100208,2270 ft.,USFS
AMCK,McKinley River Alaska,"63° 38' 57""",FA6035AC,"151° 38' 23""",500724,840 ft.,NPS
MPRT,South Fork Montana,"47° 24' 40""",324B2382,"107° 40' 07""",,2875 ft.,BLM
XBRU,Brushy Mountain New Mexico,"34° 43' 10""",5210D682,"107° 50' 51""",291301,8762 ft.,BIA
ABLA,Black Hills Arizona,"33° 05' 12""",327D40DA,"109° 57' 02""",021008,3300 ft.,BLM
ISHS,Shoshone Creek Idaho,"47° 46' 47""",,"115° 56' 59""",,3460 ft.,
TBOO,Bootleg Texas,"34° 49' 43""",8841F508,"102° 48' 34""",418801,4058 ft.,S&amp;PF
OVIL,Village Creek Oregon,"44° 15' 09""",324A14E2,"123° 27' 50""",352547,1500 ft.,BLM
FPAW,Panther West Florida,"26° 10' 18""",3281132E,"81° 28' 44""",086406,15 ft.,FWS
CCMT,Colby Mountain California,"40° 08' 45""",AAB5D654,"121° 31' 21""",040801,6262 ft.,USFS
HKPU,Kupu Kupu Hawaii,"19° 20' 53""",3263505A,"155° 07' 33""",,2331 ft.,BLM
HPHU,Puuanahulu Hawaii,"19° 49' 58""",,"155° 46' 11""",,2725 ft.,
HPKE,PTA Keamuku Hawaii,"19° 54' 08""",328FB7BE,"155° 40' 43""",,3366 ft.,DOD
ITEA,Tea Pot Idaho,"44° 54' 16""",325E73A0,"115° 44' 15""",101220,5152 ft.,USFS
AFLG,Flagstaff Arizona,"35° 08' 42""",3283D3C4,"111° 40' 30""",020209,7000 ft.,USFS
VBEE,Bee Mountain West Virginia,"38° 12' 01""",90005090,"81° 37' 12""",463802,1353 ft.,S&amp;PF
PROA,Roaring Creek Pennsylvania,"40° 49' 54""",3265E31A,"76° 25' 14""",360151,1000 ft.,S&amp;PF
COCR,Oak Creek California,"36° 50' 37""",3265650E,"118° 15' 56""",044804,4900 ft.,BLM
WTFL,Tower Falls RS Wyoming,"44° 55' 01""",,"110° 25' 14""",,6266 ft.,
NWAT,Watford City North Dakota,"47° 46' 49""",32549100,"103° 17' 12""",321703,2165 ft.,BLM
FAVO,Avon Park AF Range Florida,"27° 37' 55""",325B1186,"81° 15' 51""",085301,126 ft.,DOD
CBRC,Bear Creek Colorado,"38° 26' 33""",FA50B5C8,"105° 57' 39""",053905,9000 ft.,USFS
MBEN,Benchmark Montana,"47° 30' 00""",323331FE,"112° 54' 00""",241901,5350 ft.,USFS
FINL,Indian Lake SF Florida,"29° 15' 20""",,"82° 04' 28""",,72 ft.,
TARA,Aransas Texas,"28° 18' 16""",837152A4,"96° 49' 24""",418502,9 ft.,FWS
NCRO,Crosby North Dakota,"48° 58' 05""",8373B4A2,"104° 00' 08""",320101,2134 ft.,FWS
HHAK,Hakalau Hawaii,"19° 49' 16""",8374D370,"155° 19' 50""",150105,6400 ft.,FWS
OJOR,Jordan Oregon,"44° 43' 01""",60004164,"122° 41' 32""",352025,778 ft.,S&amp;PF
IMUD,Mud Flat Idaho,"42° 36' 14""",,"116° 33' 01""",103206,5707 ft.,BLM
CLIF,Clifton Flat Utah,"40° 06' 45""",327E724E,"113° 52' 32""",420915,6384 ft.,BLM
VSWE,Mt. Tabor Vermont,"43° 20' 54""",32760078,"72° 59' 03""",431301,668 ft.,USFS
CCSH,Cashman California,"40° 00' 06""",32743016,"120° 54' 54""",040916,4520 ft.,USFS
NORW,Norway - Kamas 10 W Utah,"40° 39' 06""",324149E4,"111° 03' 07""",420706,8280 ft.,USFS
NLIM,Lima North Dakota,"48° 47' 24""",327D03D0,"102° 16' 06""",,1962 ft.,DOD
OMLL,Miller Oregon,"46° 01' 22""",6000E19C,"123° 16' 16""",350308,1090 ft.,S&amp;PF
ASIS,Sisiak Alaska,"67° 59' 42""",3961548A,"160° 23' 44""",,1823 ft.,NPS
AHOP,Hope Alaska,"60° 47' 00""",324704F2,"149° 26' 00""",500904,450 ft.,USFS
NBES,Bessy Nebraska,"41° 53' 51""",32674616,"100° 18' 39""",252402,2943 ft.,USFS
DRED,Redden Delaware,"38° 44' 30""",DF10036A,"75° 24' 55""",070052,50 ft.,S&amp;PF
AHOU,Houserock Arizona,"36° 33' 52""",32586018,"111° 58' 41""",020225,5400 ft.,BLM
CMCH,Manchester Colorado,"39° 06' 19""",326A067A,"105° 08' 17""",53501,8489 ft.,USFS
ABRI,Brigadier Alaska,"64° 38' 40""",32B65AB2,"146° 26' 43""",,2152 ft.,DOD
ISTA,Starlight Idaho,"42° 41' 35""",,"112° 41' 20""",103705,5200 ft.,BLM
ARAG,Aragonite Utah,"40° 35' 54""",3254228E,"113° 01' 18""",420911,5030 ft.,BLM
CMN2,Montecito #2 California,"34° 26' 42""",EEE00682,"119° 37' 34""",45221,372 ft.,S&amp;PF
OBUC,Buck Peak Oregon,"42° 04' 13""",3261F556,"123° 14' 00""",353118,5243 ft.,USFS
CAGD,Arroyo Grande California,"35° 10' 45""",CA2384AE,"120° 23' 31""",044915,1048 ft.,S&amp;PF
CWOO,Woodacre California,"37° 59' 26""",CA28E2E0,"122° 38' 41""",042309,1400 ft.,S&amp;PF
CRMA,Rocky Mountain Arsenal NWR Colorado,"39° 49' 27""",,"104° 51' 21""",,5257 ft.,
AJUN,Juneau Rd Alaska,"58° 21' 44""",3248B1EE,"134° 34' 16""",501012,25 ft.,USFS
OKUH,Kuhn Ridge Oregon,"45° 45' 30""",,"117° 21' 12""",,4600 ft.,
CHC3,Highland Springs California (12-C),"33° 52' 42""",324E6748,"116° 57' 11""",045627,2233 ft.,BLM
MCLE,Clearwater Montana,"47° 00' 49""",22003704,"113° 19' 59""",241520,3839 ft.,S&amp;PF
CSAC,Sacramento NWR California,"39° 25' 02""",8373A7D4,"122° 10' 57""",041102,120 ft.,FWS
CSMR,Smith River California,"41° 53' 07""",,"124° 08' 28""",,1574 ft.,
MBIG,Bighorn Mountain Montana,"45° 04' 24""",52110210,"107° 53' 19""",245107,7280 ft.,BIA
OWLK,Waldo Lake Oregon,"43° 44' 00""",,"122° 00' 00""",,5920 ft.,
YALB,Albany Pine Bush New York,"42° 42' 05""",6250C076,"73° 56' 01""",300011,345 ft.,S&amp;PF
HMAR,Makua Range Hawaii,"21° 31' 43""",3266B468,"158° 13' 34""",490301,20 ft.,DOD
CBEY,Bear Valley California,"35° 08' 23""",CA4274E2,"118° 37' 30""",045007,4000 ft.,S&amp;PF
CWHS,Whiskeytown HQ#2 California,"40° 36' 38""",FA410322,"122° 31' 38""",040636,1360 ft.,NPS
COPA,Opal Mountain California,"35° 09' 15""",3257960E,"117° 10' 32""",045127,3240 ft.,BLM
ICOT,Cotton Idaho,"46° 01' 21""",325077C8,"116° 52' 57""",,2930 ft.,BLM
NROY,Royston Hills Nevada,"38° 15' 47""",,"117° 30' 58""",261501,5100 ft.,BLM
MCWC,Cow Creek Montana,"46° 02' 00""",324E11D8,"106° 11' 40""",243906,3228 ft.,BLM
KYEL,Yellow Creek Kentucky,"36° 36' 13""",FA41A3DA,"83° 41' 46""",159801,1090 ft.,NPS
CBIH,Big Hill California,"41° 05' 51""",5212E6EC,"123° 38' 09""",040402,3570 ft.,BIA
TCON,Conroe Texas,"30° 14' 11""",8842246E,"95° 28' 58""",415109,120 ft.,S&amp;PF
HHAI,Hakioawa Hawaii,"20° 34' 49""",3279159C,"156° 34' 16""",,1200 ft.,S&amp;PF
CTRU,Truckee Airport California,"39° 19' 00""",,"120° 08' 00""",,5890 ft.,
XDEA,Deadman Peak New Mexico,"36° 25' 23""",326EB0CE,"106° 46' 19""",290203,8450 ft.,USFS
AHOO,Hoodoo Hill Alaska,"65° 35' 09""",FA612420,"163° 24' 29""",500730,1550 ft.,NPS
HPHO,Puho CS Hawaii,"19° 25' 19""",32D61558,"155° 54' 27""",,97 ft.,NPS
KCHE,Cherry Tree Knob Kentucky,"37° 16' 48""",3284C286,"83° 34' 28""",157201,1709 ft.,USFS
AHUR,Hurricane Arizona,"36° 41' 57""",325883EA,"113° 12' 26""",020117,5445 ft.,BLM
UPRC,Upper P.R. Canyon Utah,"39° 28' 04""",324CB4D4,"109° 17' 01""",421406,8200 ft.,BLM
WNEC,Necedah Wisconsin,"44° 01' 43""",8376139A,"90° 04' 59""",474301,950 ft.,S&amp;PF
NALP,Alpha North Dakota,"47° 58' 00""",32774188,"100° 34' 00""",,1584 ft.,DOD
AGOO,Goodwin Mesa Arizona,"34° 45' 00""",32581688,"113° 18' 00""",020507,4200 ft.,BLM
ADOS,Dos Cabezas Arizona,"32° 11' 18""",3257F3E8,"109° 34' 09""",021407,7100 ft.,BLM
AHAR,Harding Icefield Alaska,"60° 08' 56""",FA656210,"149° 47' 55""",,4200 ft.,NPS
MENN,Ennis Montana,"45° 21' 00""",323F909A,"111° 44' 04""",245501,4939 ft.,USFS
TCRO,Crossville Area Office Tennessee,"35° 55' 04""",02608762,"84° 59' 50""",405001,1770 ft.,S&amp;PF
MBRA,Bradshaw Creek Montana,"45° 03' 19""",3255E56A,"105° 56' 54""",245203,3930 ft.,BLM
WDEN,Denny AHL Seed Orchard Washington,"47° 58' 04""",3280A25A,"123° 38' 05""",450124,5300 ft.,USFS
NPLC,Pole Creek Nevada,"41° 52' 36""",326AC364,"115° 15' 29""",260302,8502 ft.,USFS
OSAG,Sage Hen Oregon,"43° 30' 35""",325D5242,"119° 17' 33""",353517,4400 ft.,BLM
ONPR,North Pole Ridge Oregon,"45° 02' 15""",325291CE,"120° 31' 50""",350915,3480 ft.,BLM
CTHS,Thousand Oaks California,"34° 12' 36""",CA26D312,"118° 52' 12""",,795 ft.,S&amp;PF
ITPL,Tipsaw Lake Indiana,"38° 07' 30""",328530F8,"86° 37' 30""",128905,718 ft.,USFS
NSPG,Spring Gulch Nevada,"40° 35' 35""",3252D2C4,"114° 12' 10""",260308,5470 ft.,BLM
TBEL,Balcones Texas,"30° 33' 58""",3265958A,"98° 02' 20""",417902,1035 ft.,FWS
AJUR,Juniper Ridge Arizona,"34° 13' 58""",326A70EA,"110° 12' 04""",,6920 ft.,BIA
CMIA,Miami California,"37° 25' 09""",324015B0,"119° 44' 43""",044110,4334 ft.,USFS
PBRK,Bear Knob Pennsylvania,"40° 55' 54""",,"77° 56' 48""",,2229 ft.,
TBAR,Barnhart Texas,"30° 59' 08""",8841731C,"101° 09' 28""",417701,2562 ft.,S&amp;PF
CJAW,Jawbone California,"35° 17' 41""",32538042,"118° 13' 35""",045013,4300 ft.,BLM
OROU,Round Mountain Oregon,"43° 45' 50""",324782E6,"121° 43' 00""",352605,5900 ft.,USFS
JWOO,Woodbine New Jersey,"39° 13' 48""",FF106756,"74° 48' 14""",280091,87 ft.,S&amp;PF
CCHA,Chalks California,"37° 09' 39""",,"122° 18' 00""",,1585 ft.,
DPRI,Prime Hook Delaware,"38° 50' 00""",8377411C,"75° 20' 00""",070301,1500 ft.,FWS
CBAK,Bakersfield Portable California,"35° 43' 17""",,"118° 29' 54""",,3150 ft.,
KGRE,Greenville Kentucky,"37° 16' 02""",403046CE,"87° 12' 10""",151191,552 ft.,S&amp;PF
SACE,Ace Basin South Carolina,"32° 39' 30""",328C25D2,"80° 23' 56""",,9 ft.,FWS
OSTU,Stub Mine (Portable) Oregon,"44° 45' 54""",,"117° 57' 48""",,6220 ft.,
AHOD,Hodzana Alaska,"66° 44' 30""",1260F676,"148° 40' 36""",500417,1075 ft.,FWS
WMDW,Mead Wisconsin,"44° 41' 50""",537112F6,"89° 51' 57""",472603,1150 ft.,S&amp;PF
CPIR,Piru California,"34° 24' 16""",CA26E688,"118° 48' 36""",045319,614 ft.,S&amp;PF
CRFU,Refugio California,"34° 31' 00""",CF100A3C,"120° 04' 31""",045223,1465 ft.,S&amp;PF
MNWL,Newlan Creek Montana,"46° 44' 13""",32D77244,"110° 51' 05""",,5635 ft.,USFS
ILAP,Lapwai Idaho,"46° 23' 38""",52124614,"116° 48' 03""",100802,1020 ft.,BIA
CCP9,Camp 9 California,"34° 21' 42""",CA41A584,"118° 25' 18""",045441,4000 ft.,S&amp;PF
PLGV,Pleasant Grove Utah,"40° 25' 52""",3231277C,"111° 45' 00""",421101,5200 ft.,USFS
ACBX,Chuck Box Arizona,"34° 14' 59""",326AD012,"110° 40' 21""",,7475 ft.,BIA
CGRP,Grapevine Peak California,"34° 54' 06""",CA522300,"118° 54' 12""",045021,4647 ft.,S&amp;PF
CCPP,Carpenter Peak Colorado,"39° 25' 09""",328262B0,"105° 05' 03""",53105,7067 ft.,USFS
CDRA,Dragon Road Colorado,"39° 54' 55""",324A8180,"108° 53' 15""",,6300 ft.,BLM
OSTY,Stayton Oregon,"44° 45' 00""",60004164,"122° 52' 00""",351911,507 ft.,S&amp;PF
CHAK,Hawkins California,"34° 18' 41""",324EF22A,"117° 48' 34""",109892,7832 ft.,BLM
SWAM,WAMBAW South Carolina,"32° 58' 27""",325D37A4,"79° 40' 07""",384102,19 ft.,USFS
ATRA,Trail Cabin Arizona,"33° 16' 00""",324747F8,"109° 22' 06""",021105,6279 ft.,USFS
TFRE,Fredericksburg Port Texas,"30° 40' 05""",32D4B054,"104° 08' 49""",,6088 ft.,S&amp;PF
VKEA,Kearneysville West Virginia,"39° 21' 23""",9000F068,"77° 52' 49""",462901,602 ft.,S&amp;PF
WWLC,Willow Creek Wyoming,"44° 50' 37""",,"108° 05' 42""",,4310 ft.,
CBB5,Burney Basin #5 California,"40° 52' 29""",,"121° 46' 20""",,5290 ft.,
CATL,Atlas Peak California,"38° 28' 29""",3200051A,"122° 15' 53""",042108,1934 ft.,S&amp;PF
XGOA,Goat Springs New Mexico,"43° 35' 58""",324CF7DE,"116° 12' 29""",109893,7595 ft.,BLM
OSFK,South Fork Oregon,"45° 35' 26""",6000F2EA,"123° 28' 34""",350216,2240 ft.,S&amp;PF
CCMO,Case Mountain California,"36° 24' 39""",3268751E,"118° 48' 33""",044733,6450 ft.,BLM
MHIL,Hill City Minnesota,"47° 02' 15""",707076D6,"93° 36' 15""",211702,1340 ft.,S&amp;PF
LPIL,Pilot Town Louisiana,"29° 11' 10""",32691202,"89° 15' 34""",,1 ft.,BLM
HKUL,Kula 1 Hawaii,"20° 40' 59""",AA10F12E,"156° 19' 18""",498012,6557 ft.,S&amp;PF
CFTO,Fort Ord (Portable) California,"36° 35' 58""",326CF630,"121° 45' 09""",109692,768 ft.,BLM
NCUR,Currant Creek Nevada,"38° 45' 31""",3257036C,"115° 24' 46""",261406,5580 ft.,BLM
WGDE,Goldendale East Washington,"45° 52' 53""",300731F0,"120° 38' 05""",452408,1690 ft.,S&amp;PF
NGUI,Guion Farm North Carolina,"35° 12' 48""",323E62E4,"82° 35' 24""",316102,2600 ft.,S&amp;PF
ABLL,Blair Lakes Alaska,"64° 23' 09""",32488474,"147° 41' 43""",500758,790 ft.,DOD
CBML,Blue Mountain Lookout California,"38° 20' 33""",32B5385A,"120° 21' 53""",043212,6043 ft.,S&amp;PF
OCOF,Coffee Pot Flat Oregon,"42° 33' 00""",32613048,"120° 37' 12""",353422,5250 ft.,BLM
MRAC,Raco Michigan,"46° 15' 00""",3283733C,"84° 35' 00""",201504,900 ft.,USFS
AGOA,Goat Lake Alaska,"59° 31' 42""",396285EC,"135° 11' 06""",GOTA2,2925 ft.,NPS
TKIC,Kickapoo Caverns SP Texas,"29° 36' 33""",328B9468,"100° 28' 23""",418001,1592 ft.,S&amp;PF
OLTB,LaGrande Tank Base Oregon,"45° 17' 48""",,"118° 00' 48""",,2714 ft.,
ASTF,St. Francis Arkansas,"34° 45' 20""",,"90° 43' 19""",,300 ft.,
CNFK,North Fork Portable California,"37° 26' 15""",32424038,"119° 39' 59""",,5700 ft.,USFS
CROU,Round Mountain,"41° 25' 38""",CA2083A0,"121° 27' 50""",040221,5258 ft.,USFS
CRAG,Ragmug Colorado,"38° 27' 40""",32405868,"108° 13' 40""",052799,7500 ft.,USFS
OEAG,Eagle Creek Oregon,"45° 22' 07""",600037F4,"122° 19' 52""",350728,744 ft.,S&amp;PF
ISTN,Stanley Idaho,"44° 10' 09""",32858376,"114° 55' 33""",101809,6570 ft.,USFS
VCON,Conaway Lake West Virginia,"39° 26' 45""",90002600,"80° 52' 08""",461601,1190 ft.,S&amp;PF
ATTA,Gold King Alaska,"64° 24' 16""",3390D2F6,"148° 27' 44""",500746,556 ft.,S&amp;PF
XGIL,Gila Center New Mexico,"33° 13' 24""",3232F61A,"108° 14' 24""",292011,5600 ft.,USFS
MGRR,Green Ridge Maryland,"39° 40' 00""",B80002F4,"78° 26' 28""",180201,788 ft.,S&amp;PF
JMID,New Middlesex County New Jersey,"40° 24' 26""",FF10372A,"74° 29' 39""",280231,116 ft.,S&amp;PF
BEAR,Bear River Utah,"40° 53' 04""",3242D55A,"110° 49' 45""",420703,8536 ft.,USFS
WSMI,Smith Rapids Wisconsin,"45° 55' 56""",3268B000,"90° 10' 51""",470902,1568 ft.,USFS
ABRB,Brownsboro Alabama,"34° 44' 26""",32B3BE80,"86° 26' 06""",010402,663 ft.,S&amp;PF
NBAI,Bailey Ranch Nevada,"40° 26' 10""",,"116° 10' 00""",260602,5450 ft.,BLM
CUHL,UHL / Hot Springs,"35° 53' 20""",3231429A,"118° 38' 00""",044712,3720 ft.,USFS
IPXB,Pixley Basin Idaho,"42° 48' 22""",,"116° 23' 05""",,5629 ft.,
OFRA,Franklin Ridge Oregon,"44° 29' 00""",,"123° 34' 00""",,3556 ft.,
COJA,Ojai California,"34° 26' 54""",CA407116,"119° 13' 49""",045315,765 ft.,S&amp;PF
CLAB,Los Banos California,"37° 03' 17""",CA2311CC,"121° 03' 11""",044003,350 ft.,S&amp;PF
MSEA,Seagull Minnesota,"48° 06' 00""",3331F0B6,"90° 54' 00""",210709,1430 ft.,USFS
PCAB,Cabo Rojo Puerto Rico,"17° 58' 23""",837A1206,"67° 09' 46""",,109 ft.,FWS
UCRC,Circle Cliffs Utah,"37° 54' 34""",32B6AA36,"111° 07' 03""",,6554 ft.,BLM
ADIX,Dixon Alabama,"31° 09' 42""",32B26A12,"86° 42' 12""",016301,321 ft.,USFS
CRTB,Rattle Brush California,"40° 53' 30""",32420332,"122° 33' 06""",040631,4200 ft.,USFS
MSTI,Stinkwater Creek Montana,"46° 51' 13""",325FD1A2,"113° 23' 38""",241518,5410 ft.,BLM
MALG,Alger Michigan,"44° 07' 45""",0800E030,"84° 07' 22""",,783 ft.,S&amp;PF
MMNN,Manton Michigan,"44° 25' 03""",08007552,"85° 23' 52""",203202,1100 ft.,S&amp;PF
WASH,Ashford Washington,"46° 45' 19""",FA6184D8,"122° 06' 35""",451809,1421 ft.,S&amp;PF
NREP,Red Point Nevada,"41° 29' 05""",,"114° 47' 35""",260307,6029 ft.,BLM
CSHI,Ship Mtn. California,"41° 44' 09""",328A366A,"123° 47' 30""",040105,5300 ft.,USFS
IWAG,Wagontown Idaho,"43° 34' 21""",3334578E,"115° 19' 36""",102712,6200 ft.,USFS
OROH,Rock House Oregon,"44° 54' 00""",,"123° 30' 00""",,1500 ft.,
CLOG,Logchute Colorado,"37° 21' 06""",328A538C,"107° 54' 54""",055808,8250 ft.,USFS
CCCK,Cold Creek California,"41° 46' 54""",,"120° 19' 06""",,6350 ft.,
OEIG,Eight Dollar Mountain Oregon,"42° 15' 31""",,"123° 39' 43""",,000 ft.,
NWHI,Whiteville North Carolina,"34° 20' 10""",3270265A,"78° 43' 43""",319701,100 ft.,S&amp;PF
MBOO,Boorman Montana,"48° 08' 00""",3236C6BA,"114° 43' 00""",240226,3963 ft.,S&amp;PF
WWAU,Wausaukee Wisconsin,"45° 23' 23""",5370B0F4,"87° 57' 55""",471301,763 ft.,S&amp;PF
TFDV,Fort Davis Texas,"30° 36' 02""",8841B602,"103° 53' 12""",417201,4764 ft.,S&amp;PF
